,time,X1c.PAR1,X1c.PAR2,X1c.PAR3,X1c.PAR4,X1c.T1,X1c.T2,X1c.T3,X1c.T4,X1c.RH1,X1c.RH2,X1c.RH3,X1c.RH4,X1b.PAR1,X1b.PAR2,X1b.PAR3,X1b.PAR4,X1b.T1,X1b.T2,X1b.T3,X1b.T4,X1b.RH1,X1b.RH2,X1b.RH3,X1b.RH4,X1p.PAR1,X1p.PAR2,X1p.PAR3,X1p.PAR4,X1p.T1,X1p.T2,X1p.T3,X1p.T4,X1p.RH1,X1p.RH2,X1p.RH3,X1p.RH4
492,811,125.33,27.43,10.07,0.07,21.38,20.31,20.05,20.56,73.77,86.58,83.15,77.19,108.37,61.46,39.92,0.06,20.65,20.39,20.68,20.84,77.78,79.32,75.98,74.98,144.42,116.5,84.84,2.69,20.67,20.68,20.08,20.34,76.7,76.88,81.69,81.56
493,812,125.33,27.43,10.1,0.07,21.35,20.3,20.05,20.56,73.73,86.57,83.18,77.2,108.41,61.46,39.92,0.06,20.65,20.39,20.71,20.85,77.81,79.28,76.05,75.02,144.38,116.5,84.84,2.73,20.67,20.72,20.06,20.34,76.69,76.92,81.68,81.72
494,813,125.29,27.43,10.03,0.07,21.4,20.31,20.05,20.56,73.98,86.56,83.21,77.19,108.37,61.46,39.92,0.06,20.66,20.39,20.7,20.88,77.87,79.21,76.05,75.07,144.34,116.46,84.84,2.73,20.68,20.71,20.08,20.33,76.69,76.88,81.73,81.89
495,814,125.29,27.5,10.07,0.07,21.38,20.34,20.08,20.56,74.14,86.61,83.22,77.18,108.37,61.46,39.92,0.06,20.67,20.39,20.69,20.88,77.9,79.18,76.09,75.13,144.34,116.46,84.8,2.69,20.68,20.71,20.06,20.34,76.76,76.85,81.77,82.05
496,815,125.29,27.5,10.03,0.07,21.39,20.34,20.07,20.55,74.34,86.59,83.21,77.15,108.41,61.5,39.92,0.06,20.61,20.41,20.67,20.87,77.89,79.2,76.07,75.18,144.38,116.46,84.84,2.73,20.69,20.7,20.06,20.34,76.78,76.84,81.84,82.19
497,816,125.29,27.43,10.03,0.07,21.39,20.34,20.07,20.54,74.47,86.58,83.25,77.1,108.37,61.57,39.92,0.06,20.63,20.41,20.7,20.84,77.93,79.21,76.1,75.15,144.34,116.46,84.8,2.69,20.69,20.71,20.07,20.34,76.78,76.85,81.91,82.33
498,817,125.33,27.43,10.03,0.07,21.37,20.3,20.06,20.59,74.53,86.56,83.24,77.15,108.45,61.5,39.92,0.06,20.65,20.41,20.68,20.88,77.98,79.27,76.13,75.25,144.42,116.5,84.87,2.73,20.68,20.69,20.09,20.33,76.78,76.84,81.97,82.36
499,818,125.25,27.4,10.03,0.07,21.41,20.36,20.06,20.57,74.6,86.6,83.23,77.18,108.33,61.46,39.89,0.06,20.66,20.4,20.69,20.85,78.02,79.27,76.22,75.34,144.3,116.43,84.8,2.69,20.66,20.7,20.1,20.34,76.75,76.83,82.03,82.47
500,819,125.33,27.43,10.03,0.07,21.41,20.3,20.07,20.57,74.57,86.55,83.26,77.19,108.41,61.5,39.92,0.06,20.64,20.39,20.69,20.85,77.97,79.27,76.33,75.46,144.38,116.58,84.84,2.73,20.69,20.71,20.1,20.33,76.78,76.84,82.09,82.5
501,820,125.29,27.43,10.03,0.07,21.41,20.32,20.06,20.53,74.51,86.58,83.24,77.17,108.37,61.5,39.92,0.06,20.63,20.42,20.72,20.86,77.98,79.33,76.47,75.56,144.34,116.5,84.84,2.69,20.67,20.72,20.07,20.33,76.76,76.86,82.06,82.55
502,821,125.33,27.43,10.07,0.07,21.38,20.32,20.06,20.57,74.46,86.55,83.25,77.26,108.41,61.5,39.92,0.06,20.66,20.39,20.72,20.87,77.95,79.37,76.61,75.63,144.38,116.54,84.87,2.73,20.67,20.71,20.09,20.33,76.79,76.85,82.17,82.55
503,822,125.25,27.4,10.18,0.07,21.43,20.31,20.06,20.55,74.46,86.57,83.27,77.26,108.37,61.61,39.92,0.06,20.65,20.41,20.72,20.88,77.97,79.48,76.74,75.7,144.34,116.43,84.8,2.73,20.67,20.73,20.07,20.34,76.78,76.9,82.17,82.53
504,823,125.25,27.43,10.1,0.07,21.4,20.34,20.08,20.56,74.37,86.59,83.31,77.34,108.33,61.46,39.89,0.06,20.64,20.41,20.69,20.88,77.95,79.66,76.83,75.7,144.3,116.43,84.8,2.69,20.7,20.72,20.07,20.35,76.81,76.9,82.24,82.52
505,824,125.22,27.4,10.07,0.07,21.4,20.33,20.08,20.57,74.26,86.53,83.31,77.37,108.33,61.43,39.89,0.06,20.67,20.4,20.71,20.88,77.98,79.83,76.9,75.76,144.27,116.43,84.77,2.69,20.7,20.72,20.06,20.32,76.78,77.01,82.29,82.5
506,825,125.29,27.4,10.07,0.07,21.4,20.32,20.08,20.59,74.14,86.52,83.31,77.41,108.37,61.46,39.92,0.06,20.65,20.43,20.71,20.85,77.94,80.05,77,75.73,144.3,116.46,84.8,2.73,20.7,20.72,20.1,20.32,76.84,77.05,82.42,82.47
507,826,125.22,27.4,10.03,0.07,21.38,20.32,20.05,20.6,74.09,86.53,83.26,77.45,108.3,61.43,39.89,0.06,20.65,20.43,20.71,20.88,78.01,80.22,77.17,75.79,144.23,116.43,84.77,2.69,20.69,20.72,20.09,20.29,76.83,77.13,82.46,82.42
508,827,125.29,27.43,10.03,0.07,21.41,20.32,20.09,20.59,74.04,86.53,83.28,77.51,108.37,61.46,39.92,0.06,20.64,20.43,20.71,20.86,78.14,80.37,77.34,75.8,144.3,116.43,84.8,2.69,20.68,20.73,20.09,20.31,76.83,77.23,82.51,82.41
509,828,125.29,27.43,10.03,0.07,21.39,20.31,20.06,20.57,73.95,86.5,83.24,77.53,108.41,61.46,39.89,0.06,20.68,20.44,20.73,20.86,78.22,80.5,77.51,75.86,144.34,116.46,84.84,2.69,20.69,20.75,20.05,20.29,76.89,77.29,82.48,82.33
510,829,125.29,27.47,10.03,0.07,21.39,20.31,20.06,20.55,73.88,86.52,83.25,77.51,108.37,61.46,39.89,0.06,20.71,20.42,20.74,20.86,78.26,80.51,77.69,75.92,144.3,116.46,84.8,2.73,20.68,20.75,20.1,20.3,76.88,77.4,82.55,82.28
511,830,125.18,27.43,10.03,0.07,21.4,20.31,20.06,20.53,73.83,86.49,83.25,77.54,108.3,61.39,39.85,0.06,20.67,20.42,20.74,20.86,78.25,80.63,77.86,76.01,144.19,116.39,84.73,2.69,20.69,20.74,20.08,20.29,76.94,77.46,82.65,82.22
512,831,125.22,27.4,9.99,0.07,21.4,20.34,20.08,20.54,73.83,86.52,83.27,77.6,108.33,61.39,39.89,0.06,20.66,20.42,20.74,20.9,78.14,80.77,77.93,76.07,144.27,116.39,84.77,2.69,20.67,20.73,20.08,20.31,77.04,77.44,82.68,82.14
513,832,125.29,27.4,10.03,0.07,21.39,20.35,20.09,20.55,73.81,86.49,83.31,77.66,108.37,61.43,39.89,0.06,20.65,20.42,20.72,20.89,78.18,80.83,77.91,76.13,144.3,116.43,84.8,2.69,20.7,20.72,20.07,20.32,77.14,77.55,82.81,82.06
514,833,125.22,27.43,9.99,0.07,21.38,20.34,20.09,20.54,73.83,86.5,83.34,77.71,108.33,61.43,39.89,0.06,20.65,20.43,20.75,20.89,78.14,80.9,78.02,76.17,144.27,116.39,84.77,2.73,20.7,20.69,20.09,20.32,77.19,77.65,82.91,81.93
515,834,125.22,27.43,9.99,0.07,21.39,20.3,20.07,20.58,73.89,86.48,83.39,77.84,108.33,61.43,39.89,0.06,20.65,20.44,20.72,20.87,78.04,80.91,78.05,76.18,144.23,116.39,84.77,2.69,20.69,20.69,20.1,20.31,77.25,77.73,82.98,81.77
516,835,125.18,27.4,9.99,0.07,21.38,20.34,20.06,20.58,73.89,86.48,83.38,77.89,108.3,61.39,39.89,0.06,20.65,20.46,20.71,20.89,78,80.96,78.13,76.24,144.19,116.35,84.73,2.69,20.67,20.72,20.09,20.29,77.24,77.86,82.97,81.74
517,836,125.25,27.43,9.99,0.07,21.42,20.32,20.08,20.57,73.98,86.44,83.39,77.95,108.33,61.43,39.89,0.06,20.66,20.46,20.72,20.88,77.89,80.92,78.16,76.26,144.3,116.39,84.77,2.69,20.7,20.73,20.07,20.31,77.31,77.94,82.94,81.6
518,837,125.22,27.47,10.07,0.07,21.42,20.31,20.05,20.55,74,86.42,83.4,77.97,108.3,61.57,39.89,0.06,20.67,20.45,20.75,20.87,77.84,80.91,78.24,76.29,144.27,116.39,84.77,2.69,20.69,20.73,20.11,20.29,77.32,78.05,82.97,81.46
519,838,125.25,27.43,10.03,0.07,21.41,20.33,20.06,20.56,74.03,86.39,83.44,78.01,108.33,61.54,39.89,0.1,20.67,20.43,20.75,20.87,77.73,80.89,78.29,76.34,144.3,116.43,84.77,2.69,20.67,20.72,20.1,20.29,77.34,78.1,82.95,81.32
520,839,125.25,27.4,9.99,0.07,21.39,20.35,20.04,20.55,74.02,86.37,83.45,78.04,108.33,61.43,39.89,0.06,20.66,20.46,20.75,20.9,77.63,80.92,78.34,76.41,144.27,116.43,84.77,2.69,20.69,20.72,20.1,20.28,77.4,78.16,82.91,81.27
521,840,125.25,27.43,9.99,0.07,21.41,20.34,20.09,20.55,74.09,86.26,83.57,78.07,108.33,61.46,39.89,0.06,20.65,20.43,20.75,20.9,77.57,80.83,78.36,76.44,144.3,116.43,84.77,2.69,20.67,20.71,20.09,20.29,77.47,78.22,82.92,81.28
522,841,125.29,27.4,9.99,0.07,21.39,20.34,20.09,20.56,74.13,86.2,83.64,78.13,108.37,61.5,39.89,0.06,20.7,20.42,20.72,20.91,77.52,80.9,78.35,76.47,144.3,116.43,84.77,2.69,20.7,20.73,20.12,20.31,77.58,78.3,82.94,81.29
523,842,125.29,27.4,10.14,0.07,21.39,20.33,20.1,20.56,74.24,86.09,83.7,78.15,108.37,61.57,39.89,0.06,20.66,20.42,20.74,20.89,77.44,80.9,78.36,76.46,144.34,116.5,84.8,2.69,20.72,20.74,20.12,20.31,77.61,78.35,82.98,81.35
524,843,125.25,27.4,10.03,0.07,21.4,20.32,20.08,20.59,74.28,86.06,83.7,78.22,108.37,61.5,39.89,0.06,20.65,20.43,20.72,20.9,77.4,80.96,78.35,76.5,144.3,116.43,84.8,2.73,20.71,20.77,20.12,20.3,77.52,78.44,82.98,81.32
525,844,125.22,27.36,9.99,0.07,21.39,20.33,20.1,20.59,74.38,86,83.75,78.22,108.37,61.43,39.89,0.06,20.66,20.45,20.72,20.87,77.36,81.05,78.29,76.48,144.3,116.39,84.77,2.69,20.7,20.75,20.1,20.28,77.48,78.49,83,81.29
526,845,125.25,27.36,9.99,0.07,21.44,20.32,20.07,20.58,74.54,85.87,83.83,78.25,108.37,61.43,39.89,0.06,20.72,20.45,20.71,20.87,77.34,81.12,78.27,76.54,144.3,116.43,84.8,2.73,20.74,20.75,20.11,20.29,77.44,78.48,83.04,81.35
527,846,125.25,27.43,9.99,0.07,21.44,20.32,20.07,20.55,74.65,85.81,83.89,78.2,108.37,61.43,39.89,0.06,20.69,20.45,20.74,20.89,77.31,81.25,78.29,76.6,144.27,116.39,84.77,2.69,20.69,20.73,20.1,20.27,77.26,78.45,83.08,81.38
528,847,125.18,27.4,9.99,0.07,21.43,20.34,20.06,20.58,74.74,85.76,83.95,78.24,108.33,61.43,39.85,0.06,20.7,20.45,20.74,20.89,77.32,81.29,78.27,76.66,144.27,116.35,84.77,2.69,20.69,20.75,20.08,20.27,77.14,78.43,83.11,81.5
529,848,125.33,27.43,9.99,0.07,21.42,20.33,20.05,20.57,74.74,85.73,84.02,78.25,108.41,61.5,39.89,0.06,20.67,20.43,20.74,20.92,77.24,81.29,78.26,76.75,144.3,116.46,84.8,2.69,20.68,20.73,20.08,20.27,76.99,78.38,83.15,81.64
530,849,125.25,27.43,10.03,0.07,21.41,20.33,20.1,20.57,74.75,85.72,84.11,78.25,108.37,61.57,39.89,0.06,20.67,20.45,20.72,20.92,77.24,81.44,78.24,76.8,144.3,116.43,84.77,2.73,20.68,20.71,20.09,20.3,76.86,78.32,83.23,81.79
531,850,125.03,27.4,10.03,0.07,21.41,20.33,20.11,20.57,74.75,85.71,84.14,78.28,108.22,61.46,39.81,0.06,20.67,20.43,20.73,20.91,77.22,81.52,78.26,76.89,144.05,116.24,84.62,2.69,20.7,20.7,20.11,20.3,76.69,78.24,83.26,81.92
532,851,125.25,27.47,10.14,0.07,21.39,20.28,20.1,20.59,74.65,85.69,84.2,78.33,108.37,61.54,39.89,0.06,20.66,20.43,20.71,20.88,77.17,81.61,78.18,76.87,144.3,116.43,84.77,2.73,20.7,20.73,20.11,20.3,76.45,78.19,83.33,82.02
533,852,125.29,27.43,10.03,0.07,21.39,20.32,20.07,20.6,74.54,85.75,84.16,78.35,108.41,61.54,39.89,0.06,20.66,20.43,20.72,20.91,77.13,81.71,78.12,76.98,144.34,116.43,84.77,2.69,20.71,20.75,20.1,20.29,76.35,78.11,83.35,82.17
534,853,125.25,27.43,10.03,0.07,21.42,20.31,20.11,20.6,74.45,85.81,84.26,78.4,108.37,61.57,39.89,0.06,20.68,20.44,20.72,20.89,77.08,81.82,78.12,77.01,144.3,116.39,84.77,2.69,20.69,20.75,20.12,20.28,76.32,78.05,83.36,82.17
535,854,125.22,27.4,10.03,0.07,21.42,20.31,20.07,20.58,74.4,85.89,84.27,78.42,108.33,61.54,39.85,0.06,20.68,20.45,20.73,20.88,77.1,81.86,78.14,77.05,144.27,116.35,84.73,2.69,20.7,20.73,20.1,20.29,76.17,78.02,83.37,82.29
536,855,125.29,27.43,10.03,0.07,21.43,20.32,20.08,20.56,74.29,86.01,84.3,78.4,108.37,61.57,39.89,0.06,20.7,20.45,20.75,20.89,77.17,81.89,78.2,77.08,144.3,116.43,84.77,2.69,20.68,20.75,20.09,20.27,76.07,78,83.43,82.41
537,856,125.22,27.43,10.03,0.07,21.45,20.33,20.07,20.57,74.24,86.14,84.3,78.48,108.33,61.5,39.85,0.06,20.69,20.45,20.75,20.9,77.16,81.89,78.26,77.15,144.27,116.39,84.73,2.69,20.67,20.73,20.09,20.27,75.95,77.92,83.47,82.5
538,857,125.11,27.4,9.99,0.07,21.43,20.34,20.1,20.56,74.22,86.28,84.37,78.48,108.26,61.39,39.81,0.06,20.67,20.42,20.74,20.91,77.15,81.86,78.33,77.23,144.12,116.27,84.69,2.69,20.67,20.74,20.1,20.26,75.82,77.91,83.54,82.61
539,858,125.25,27.43,10.03,0.07,21.4,20.35,20.1,20.56,74.19,86.39,84.37,78.51,108.37,61.46,39.89,0.06,20.66,20.46,20.71,20.91,77.16,81.96,78.31,77.26,144.27,116.39,84.73,2.69,20.7,20.72,20.12,20.29,75.73,77.97,83.59,82.61
540,859,125.25,27.43,10.07,0.07,21.43,20.36,20.1,20.54,74.19,86.51,84.37,78.54,108.33,61.54,39.85,0.06,20.68,20.44,20.75,20.89,77.12,81.94,78.4,77.28,144.27,116.35,84.73,2.69,20.71,20.75,20.13,20.28,75.62,78.09,83.62,82.58
541,900,125.22,27.43,10.07,0.07,21.41,20.34,20.08,20.59,74.17,86.48,84.35,78.59,108.37,61.57,39.85,0.06,20.68,20.45,20.73,20.87,77.15,81.94,78.4,77.25,144.19,116.35,84.73,2.69,20.71,20.75,20.13,20.28,75.56,78.19,83.64,82.58
542,901,125.18,27.4,10.03,0.07,21.4,20.35,20.07,20.59,74.23,86.57,84.35,78.63,108.33,61.54,39.85,0.06,20.69,20.43,20.73,20.9,77.1,81.96,78.46,77.35,144.19,116.31,84.69,2.69,20.69,20.75,20.12,20.29,75.54,78.29,83.65,82.62
543,902,125.25,27.43,10.03,0.07,21.43,20.34,20.07,20.58,74.34,86.63,84.32,78.65,108.37,61.5,39.85,0.06,20.72,20.43,20.73,20.87,77.08,81.99,78.48,77.32,144.23,116.39,84.73,2.69,20.71,20.72,20.11,20.27,75.59,78.26,83.66,82.61
544,903,125.22,27.43,10.03,0.07,21.43,20.36,20.06,20.57,74.43,86.67,84.27,78.64,108.37,61.43,39.85,0.06,20.68,20.46,20.75,20.88,77.13,82.02,78.57,77.38,144.19,116.35,84.69,2.69,20.68,20.75,20.1,20.29,75.74,78.4,83.73,82.63
545,904,125.22,27.43,9.99,0.07,21.45,20.32,20.07,20.57,74.55,86.65,84.27,78.64,108.33,61.39,39.85,0.06,20.71,20.46,20.75,20.89,77.23,82.09,78.62,77.38,144.23,116.39,84.73,2.69,20.69,20.73,20.1,20.27,75.98,78.49,83.73,82.63
546,905,125.22,27.4,9.99,0.07,21.45,20.37,20.09,20.57,74.66,86.74,84.23,78.61,108.33,61.39,39.85,0.06,20.69,20.46,20.75,20.92,77.28,82.08,78.59,77.44,144.23,116.39,84.73,2.69,20.71,20.73,20.1,20.27,76.32,78.57,83.8,82.68
547,906,125.25,27.4,10.03,0.07,21.43,20.36,20.09,20.56,74.73,86.74,84.24,78.59,108.37,61.46,39.89,0.06,20.69,20.45,20.74,20.94,77.28,82.07,78.57,77.48,144.27,116.46,84.77,2.69,20.71,20.71,20.13,20.26,76.6,78.69,83.85,82.7
548,907,125.25,27.4,9.99,0.07,21.4,20.35,20.1,20.55,74.7,86.78,84.24,78.54,108.37,61.43,39.85,0.06,20.68,20.45,20.75,20.94,77.45,82.07,78.59,77.41,144.27,116.39,84.77,2.69,20.73,20.73,20.13,20.29,76.96,78.76,83.88,82.78
549,908,125.18,27.4,10.03,0.07,21.45,20.33,20.09,20.54,74.86,86.73,84.2,78.5,108.41,61.43,39.85,0.06,20.66,20.45,20.74,20.93,77.56,82.1,78.57,77.4,144.19,116.35,84.73,2.69,20.72,20.74,20.13,20.28,77.28,78.81,83.91,82.8
550,909,125.18,27.4,10.03,0.07,21.42,20.34,20.06,20.59,74.96,86.73,84.15,78.46,108.37,61.43,39.85,0.06,20.67,20.43,20.73,20.91,77.74,82.11,78.57,77.38,144.19,116.35,84.73,2.69,20.72,20.74,20.12,20.29,77.51,78.86,83.9,82.86
551,910,125.22,27.43,10.03,0.07,21.42,20.33,20.09,20.58,75.1,86.71,84.17,78.4,108.33,61.54,39.85,0.06,20.7,20.45,20.73,20.94,77.89,82.1,78.5,77.41,144.23,116.35,84.73,2.69,20.7,20.72,20.13,20.27,77.48,78.84,83.93,82.86
552,911,125.11,27.4,10.03,0.07,21.41,20.32,20.07,20.57,75.33,86.68,84.14,78.27,108.33,61.5,39.85,0.06,20.7,20.43,20.73,20.91,78.12,82.09,78.46,77.38,144.16,116.31,84.69,2.69,20.72,20.74,20.12,20.26,77.79,78.91,83.99,82.87
553,912,125.25,27.43,10.03,0.07,21.43,20.33,20.08,20.56,75.62,86.68,84.11,78.2,108.33,61.54,39.89,0.06,20.71,20.46,20.76,20.91,78.43,82.09,78.38,77.39,144.27,116.39,84.77,2.69,20.71,20.73,20.12,20.27,77.97,78.95,84.06,82.9
554,913,125.29,27.43,10.07,0.07,21.45,20.36,20.08,20.57,75.93,86.63,84.11,78.16,108.37,61.57,39.89,0.06,20.72,20.46,20.75,20.91,78.57,82.09,78.29,77.39,144.34,116.43,84.77,2.69,20.71,20.73,20.12,20.25,78.18,79.01,84.09,82.91
555,914,125.22,27.4,10.03,0.07,21.45,20.36,20.09,20.54,76.18,86.65,84.09,78.01,108.41,61.5,39.89,0.06,20.69,20.46,20.76,20.94,78.54,81.99,78.2,77.42,144.23,116.35,84.73,2.69,20.73,20.73,20.15,20.26,78.39,79.06,84.14,82.94
556,915,125.22,27.43,10.03,0.07,21.44,20.38,20.11,20.54,76.46,86.66,84.11,77.92,108.33,61.46,39.85,0.06,20.72,20.47,20.73,20.93,78.77,81.89,78.17,77.38,144.23,116.39,84.77,2.69,20.75,20.77,20.15,20.27,78.56,79.14,84.2,82.93
557,916,125.14,27.4,10.03,0.07,21.41,20.36,20.1,20.54,76.45,86.62,84.04,77.83,108.26,61.46,39.81,0.06,20.69,20.45,20.77,20.93,78.83,81.86,78.18,77.29,144.12,116.35,84.69,2.69,20.74,20.76,20.13,20.28,78.71,79.17,84.27,82.93
558,917,125.14,27.43,10.07,0.07,21.45,20.35,20.09,20.55,76.72,86.6,84.04,77.72,108.22,61.5,39.85,0.06,20.71,20.48,20.75,20.92,78.95,81.76,78.12,77.14,144.19,116.31,84.69,2.69,20.75,20.75,20.12,20.28,78.86,79.18,84.25,82.88
559,918,125.14,27.43,10.03,0.07,21.43,20.36,20.08,20.58,76.95,86.59,84.01,77.68,108.26,61.46,39.85,0.06,20.73,20.45,20.75,20.9,79.03,81.64,78.12,77.11,144.12,116.31,84.69,2.69,20.74,20.73,20.14,20.27,78.95,79.17,84.27,82.76
560,919,125.18,27.43,10.03,0.07,21.44,20.35,20.1,20.58,77.17,86.56,84,77.57,108.26,61.43,39.85,0.06,20.74,20.45,20.75,20.92,79.11,81.54,78.08,76.95,144.23,116.31,84.73,2.69,20.74,20.73,20.11,20.25,78.99,79.21,84.28,82.72
561,920,125.14,27.4,10.03,0.07,21.45,20.34,20.07,20.58,77.4,86.57,83.95,77.5,108.19,61.36,39.85,0.06,20.74,20.44,20.75,20.9,79.11,81.45,78.04,76.72,144.16,116.31,84.69,2.69,20.74,20.72,20.12,20.28,79.14,79.22,84.31,82.69
562,921,125.29,27.43,10.03,0.07,21.46,20.33,20.06,20.54,77.57,86.56,83.87,77.46,108.33,61.46,39.89,0.06,20.72,20.45,20.75,20.9,79.13,81.35,78.05,76.53,144.27,116.46,84.77,2.69,20.74,20.73,20.11,20.26,79.31,79.22,84.29,82.58
563,922,125.22,27.43,10.03,0.07,21.48,20.36,20.07,20.58,77.72,86.6,83.85,77.48,108.22,61.39,39.85,0.06,20.7,20.47,20.76,20.88,79.09,81.31,78.1,76.33,144.23,116.43,84.77,2.69,20.74,20.72,20.13,20.25,79.48,79.21,84.4,82.53
564,923,125.22,27.43,10.03,0.07,21.49,20.37,20.1,20.56,77.8,86.6,83.86,77.45,108.3,61.43,39.89,0.06,20.71,20.47,20.75,20.92,79.07,81.25,78.15,76.25,144.23,116.39,84.77,2.69,20.72,20.74,20.13,20.25,79.59,79.3,84.4,82.47
565,924,125.18,27.43,10.07,0.07,21.46,20.36,20.1,20.56,77.85,86.59,83.79,77.45,108.3,61.43,39.85,0.06,20.71,20.46,20.73,20.93,79.01,81.18,78.12,76.16,144.27,116.39,84.69,2.69,20.76,20.75,20.14,20.25,79.75,79.3,84.43,82.35
566,925,125.22,27.4,10.1,0.07,21.43,20.33,20.11,20.57,77.8,86.54,83.72,77.45,108.26,61.43,39.85,0.06,20.7,20.45,20.75,20.91,78.86,81.13,78.19,76.07,144.27,116.39,84.73,2.69,20.76,20.75,20.12,20.29,79.75,79.34,84.41,82.28
567,926,125.18,27.4,10.03,0.07,21.47,20.36,20.08,20.57,77.77,86.56,83.68,77.49,108.3,61.5,39.85,0.06,20.69,20.46,20.74,20.91,78.75,81.11,78.21,75.97,144.23,116.39,84.69,2.69,20.77,20.74,20.14,20.27,79.75,79.34,84.46,82.16
568,927,125.22,27.4,10.07,0.07,21.44,20.34,20.1,20.59,77.57,86.51,83.69,77.51,108.3,61.54,39.89,0.06,20.68,20.45,20.74,20.9,78.6,81.03,78.21,75.92,144.27,116.39,84.73,2.69,20.74,20.74,20.13,20.26,79.72,79.34,84.44,82.1
569,928,125.18,27.4,10.18,0.07,21.44,20.35,20.09,20.59,77.4,86.47,83.63,77.48,108.22,61.46,39.85,0.06,20.72,20.45,20.74,20.9,78.46,80.96,78.18,75.82,144.23,116.35,84.69,2.69,20.76,20.73,20.13,20.24,79.73,79.35,84.5,82.08
570,929,125.22,27.36,10.07,0.07,21.45,20.35,20.08,20.58,77.17,86.41,83.56,77.44,108.33,61.54,39.89,0.06,20.71,20.45,20.77,20.88,78.27,80.87,78.15,75.68,144.27,116.43,84.77,2.69,20.74,20.74,20.14,20.26,79.64,79.38,84.56,82.05
571,930,125.18,27.4,10.03,0.07,21.43,20.35,20.07,20.58,76.89,86.36,83.56,77.41,108.26,61.43,39.85,0.06,20.72,20.45,20.76,20.88,78.11,80.74,78.04,75.53,144.23,116.35,84.73,2.69,20.73,20.73,20.13,20.27,79.55,79.35,84.62,81.89
572,931,125.22,27.36,10.07,0.07,21.46,20.38,20.06,20.59,76.64,86.31,83.52,77.42,108.3,61.54,39.85,0.06,20.68,20.48,20.76,20.86,78.08,80.63,77.94,75.35,144.27,116.39,84.73,2.69,20.73,20.75,20.16,20.25,79.46,79.36,84.66,81.63
573,932,125.18,27.4,10.07,0.07,21.45,20.39,20.1,20.55,76.36,86.28,83.54,77.35,108.26,61.54,39.85,0.06,20.71,20.47,20.74,20.92,77.99,80.49,77.87,75.26,144.23,116.35,84.73,2.73,20.74,20.75,20.15,20.26,79.36,79.35,84.69,81.32
574,933,125.14,27.36,10.1,0.07,21.44,20.37,20.09,20.56,76.13,86.17,83.54,77.3,108.22,61.39,39.85,0.06,20.69,20.47,20.78,20.93,77.73,80.4,77.8,75.1,144.23,116.35,84.73,2.69,20.74,20.74,20.12,20.26,79.22,79.31,84.66,81
575,934,125.25,27.4,10.07,0.07,21.41,20.35,20.08,20.57,76.02,86.15,83.53,77.3,108.33,61.46,39.89,0.06,20.69,20.46,20.75,20.92,77.6,80.28,77.64,74.98,144.34,116.43,84.77,2.69,20.74,20.75,20.16,20.26,79.1,79.31,84.69,80.74
576,935,125.29,27.4,10.1,0.07,21.44,20.37,20.05,20.58,75.9,86.12,83.49,77.27,108.33,61.54,39.89,0.06,20.68,20.43,20.75,20.9,77.54,80.25,77.5,74.89,144.34,116.43,84.8,2.69,20.74,20.74,20.15,20.25,78.98,79.22,84.63,80.51
577,936,125.25,27.4,10.14,0.07,21.42,20.34,20.08,20.59,75.73,85.99,83.53,77.24,108.33,61.46,39.89,0.06,20.71,20.46,20.75,20.91,77.45,80.19,77.35,74.85,144.27,116.39,84.77,2.69,20.72,20.74,20.15,20.26,78.95,79.14,84.57,80.41
578,937,125.25,27.36,10.07,0.07,21.43,20.34,20.05,20.58,75.62,85.86,83.5,77.18,108.3,61.46,39.89,0.06,20.7,20.43,20.74,20.9,77.48,80.11,77.26,74.74,144.27,116.43,84.77,2.69,20.73,20.73,20.13,20.23,78.86,79.03,84.54,80.38
579,938,125.29,27.4,10.07,0.07,21.43,20.33,20.06,20.57,75.56,85.73,83.5,77.15,108.3,61.43,39.92,0.06,20.71,20.44,20.76,20.89,77.31,80.02,77.13,74.64,144.3,116.43,84.8,2.69,20.73,20.75,20.15,20.26,78.71,78.95,84.43,80.43
580,939,125.18,27.4,10.03,0.07,21.41,20.35,20.07,20.56,75.52,85.65,83.5,77.13,108.3,61.43,39.89,0.06,20.66,20.45,20.76,20.9,77.31,79.96,76.96,74.58,144.19,116.35,84.73,2.69,20.71,20.75,20.14,20.23,78.59,78.84,84.18,80.47
581,940,125.29,27.4,10.07,0.07,21.44,20.35,20.1,20.56,75.47,85.49,83.47,77.08,108.37,61.54,39.92,0.06,20.72,20.47,20.76,20.92,77.37,79.9,76.8,74.46,144.34,116.5,84.8,2.69,20.7,20.74,20.14,20.24,78.44,78.73,83.92,80.6
582,941,125.25,27.36,10.07,0.07,21.44,20.35,20.11,20.56,75.42,85.38,83.47,77,108.3,61.46,39.89,0.06,20.68,20.48,20.74,20.94,77.31,79.86,76.78,74.43,144.27,116.43,84.77,2.69,20.73,20.73,20.1,20.22,78.35,78.65,83.88,80.75
583,942,125.29,27.4,10.07,0.07,21.45,20.33,20.1,20.55,75.36,85.34,83.41,76.97,108.37,61.46,39.92,0.06,20.71,20.48,20.76,20.93,77.11,79.81,76.66,74.37,144.34,116.46,84.8,2.73,20.73,20.76,20.14,20.26,78.23,78.6,83.62,80.95
